condition,fragments,step,loss,accuracy,fbeta,elapsed_seconds,step_duration_seconds
baseline,1,0,0.695622,0.09375,0.114504,10.338,10.338
baseline,1,1,0.694306,0.1875,0.223881,12.661,2.3235
baseline,1,2,0.696508,0.125,0.151515,14.516,1.8544
baseline,1,3,0.69735,0.15625,0.18797,15.929,1.4129
baseline,1,4,0.697536,0.125,0.151515,17.061,1.1319
baseline,1,5,0.697405,0.3125,0.362319,18.592,1.5315
baseline,1,6,0.697287,0.15625,0.18797,19.807,1.2145
baseline,1,7,0.693819,0.3125,0.362319,20.844,1.0373
baseline,1,8,0.69325,0.34375,0.395683,21.734,0.8901
baseline,1,9,0.696545,0.25,0.294118,22.729,0.9949
baseline,1,10,0.697623,0.25,0.294118,23.982,1.2533
baseline,1,11,0.698327,0.21875,0.259259,24.918,0.9359
baseline,1,12,0.693372,0.3125,0.362319,25.769,0.8512
baseline,1,13,0.69597,0.125,0.151515,26.553,0.7836
baseline,1,14,0.697472,0.21875,0.259259,27.368,0.8155
baseline,1,15,0.694555,0.15625,0.18797,28.157,0.7884
baseline,1,16,0.694212,0.1875,0.223881,28.893,0.7362
baseline,1,17,0.695825,0.1875,0.223881,29.606,0.7127
baseline,1,18,0.695961,0.21875,0.259259,30.373,0.7675
baseline,1,19,0.695298,0.125,0.151515,31.115,0.7423
baseline,1,20,0.695431,0.1875,0.223881,31.92,0.805
baseline,1,21,0.697199,0.1875,0.223881,32.604,0.6838
baseline,1,22,0.694827,0.15625,0.18797,33.267,0.6625
baseline,1,23,0.694427,0.125,0.151515,33.995,0.7278
baseline,1,24,0.694512,0.1875,0.223881,34.696,0.7013
baseline,1,25,0.69587,0.15625,0.18797,35.391,0.6955
baseline,1,26,0.695585,0.15625,0.18797,36.17,0.7783
baseline,1,27,0.695821,0.1875,0.223881,36.89,0.7202
baseline,1,28,0.693351,0.21875,0.259259,37.629,0.739
baseline,1,29,0.692426,0.15625,0.18797,38.387,0.7585
baseline,1,30,0.696373,0.15625,0.18797,39.142,0.7546
baseline,1,31,0.69582,0.09375,0.114504,39.828,0.6863
baseline,1,32,0.692622,0.21875,0.259259,40.626,0.7976
baseline,1,33,0.690704,0.25,0.294118,41.384,0.7583
baseline,1,34,0.695563,0.25,0.294118,42.083,0.6987
baseline,1,35,0.69359,0.125,0.151515,42.802,0.7186
baseline,1,36,0.693941,0.0625,0.076923,43.635,0.8331
baseline,1,37,0.693072,0.09375,0.114504,44.472,0.8372
baseline,1,38,0.692991,0.25,0.294118,45.127,0.655
baseline,1,39,0.69514,0.1875,0.223881,45.823,0.696
baseline,1,40,0.694484,0.25,0.294118,46.573,0.75
baseline,1,41,0.691785,0.21875,0.259259,47.274,0.7009
baseline,1,42,0.692137,0.1875,0.223881,47.986,0.712
baseline,1,43,0.692966,0.15625,0.18797,48.664,0.6785
baseline,1,44,0.694631,0.25,0.294118,49.399,0.7349
baseline,1,45,0.695005,0.1875,0.223881,50.043,0.6442
baseline,1,46,0.693809,0.09375,0.114504,50.733,0.6893
baseline,1,47,0.693489,0.1875,0.223881,51.348,0.6149
baseline,1,48,0.692546,0.21875,0.259259,52.041,0.6932
baseline,1,49,0.691212,0.0625,0.076923,52.739,0.6978
baseline,1,50,0.692892,0.125,0.151515,53.423,0.6845
baseline,1,51,0.693272,0.15625,0.18797,54.078,0.6548
baseline,1,52,0.692585,0.25,0.294118,54.767,0.6894
baseline,1,53,0.692021,0.0625,0.076923,55.396,0.6289
baseline,1,54,0.689144,0.15625,0.18797,57.601,2.2053
baseline,1,55,0.690374,0.21875,0.259259,58.52,0.9189
baseline,1,56,0.690966,0.21875,0.259259,59.256,0.7355
baseline,1,57,0.690745,0.21875,0.259259,60.074,0.8182
baseline,1,58,0.688741,0.28125,0.328467,60.848,0.7736
baseline,1,59,0.690754,0.09375,0.114504,61.628,0.7799
baseline,1,60,0.689177,0.09375,0.114504,62.339,0.7117
baseline,1,61,0.69007,0.03125,0.03876,63.063,0.7239
baseline,1,62,0.688161,0.15625,0.18797,63.808,0.7451
baseline,1,63,0.692343,0.25,0.294118,64.579,0.7711
baseline,1,64,0.691607,0.15625,0.18797,65.373,0.7934
baseline,1,65,0.690533,0.1875,0.223881,66.129,0.7558
baseline,1,66,0.689647,0.375,0.428571,66.896,0.7673
baseline,1,67,0.690419,0.1875,0.223881,67.619,0.7234
baseline,1,68,0.692313,0.25,0.294118,68.387,0.7678
baseline,1,69,0.691451,0.125,0.151515,69.14,0.7527
baseline,1,70,0.687026,0.09375,0.114504,69.82,0.6806
baseline,1,71,0.690666,0.15625,0.18797,70.564,0.7438
baseline,1,72,0.689662,0.15625,0.18797,71.337,0.7726
baseline,1,73,0.688264,0.15625,0.18797,72.1,0.7636
baseline,1,74,0.688205,0.40625,0.460993,72.876,0.776
baseline,1,75,0.694709,0.375,0.428571,73.599,0.7228
baseline,1,76,0.685804,0.1875,0.223881,74.366,0.7667
baseline,1,77,0.689476,0.125,0.151515,75.05,0.6842
baseline,1,78,0.689858,0.21875,0.259259,75.746,0.6961
baseline,1,79,0.687682,0.15625,0.18797,76.481,0.7345
baseline,1,80,0.687567,0.1875,0.223881,77.197,0.7162
baseline,1,81,0.690706,0.25,0.294118,78.049,0.8522
baseline,1,82,0.689924,0.21875,0.259259,79.09,1.0411
baseline,1,83,0.685894,0.1875,0.223881,80.376,1.2858
baseline,1,84,0.684941,0.09375,0.114504,81.684,1.3076
baseline,1,85,0.685952,0.125,0.151515,82.798,1.1141
baseline,1,86,0.687213,0.28125,0.328467,83.904,1.1061
baseline,1,87,0.689479,0.15625,0.18797,84.82,0.9162
baseline,1,88,0.687859,0.125,0.151515,85.813,0.9932
baseline,1,89,0.690756,0.28125,0.328467,86.707,0.8932
baseline,1,90,0.688685,0.25,0.294118,87.568,0.861
baseline,1,91,0.68859,0.1875,0.223881,88.433,0.8656
baseline,1,92,0.688192,0.1875,0.223881,89.339,0.9056
baseline,1,93,0.689462,0.21875,0.259259,90.233,0.8939
baseline,1,94,0.686235,0.125,0.151515,91.046,0.8133
baseline,1,95,0.688106,0.1875,0.223881,91.839,0.7931
baseline,1,96,0.685333,0.1875,0.223881,92.574,0.7351
baseline,1,97,0.687994,0.21875,0.259259,93.403,0.8289
baseline,1,98,0.689041,0.25,0.294118,94.153,0.7498
baseline,1,99,0.681689,0.125,0.11811,94.945,0.7918
baseline,1,100,0.685057,0.1875,0.223881,95.731,0.7866
baseline,1,101,0.685099,0.125,0.151515,96.472,0.7406
baseline,1,102,0.684257,0.125,0.151515,97.297,0.825
baseline,1,103,0.686245,0.125,0.151515,98.081,0.784
baseline,1,104,0.682351,0.125,0.151515,98.831,0.7498
baseline,1,105,0.686456,0.21875,0.259259,99.593,0.7625
baseline,1,106,0.685887,0.15625,0.18797,100.391,0.7978
baseline,1,107,0.688365,0.1875,0.223881,101.123,0.7322
baseline,1,108,0.685364,0.15625,0.18797,101.857,0.7334
baseline,1,109,0.686759,0.1875,0.223881,102.589,0.732
baseline,1,110,0.682158,0.1875,0.223881,103.359,0.7704
baseline,1,111,0.685253,0.1875,0.223881,104.169,0.8099
baseline,1,112,0.683802,0.15625,0.18797,104.94,0.771
baseline,1,113,0.681572,0.15625,0.18797,105.666,0.7264
baseline,1,114,0.683708,0.25,0.294118,106.395,0.7285
baseline,1,115,0.685496,0.28125,0.328467,107.175,0.7804
baseline,1,116,0.683793,0.15625,0.18797,107.938,0.7628
baseline,1,117,0.684381,0.125,0.151515,108.662,0.7233
baseline,1,118,0.684236,0.1875,0.223881,109.576,0.9146
baseline,1,119,0.682529,0.28125,0.328467,110.315,0.7386
baseline,1,120,0.685609,0.21875,0.259259,111.121,0.806
baseline,1,121,0.681339,0.1875,0.223881,111.997,0.8761
baseline,1,122,0.679808,0.09375,0.114504,112.932,0.9352
baseline,1,123,0.683611,0.1875,0.223881,113.722,0.7896
baseline,1,124,0.6792,0.125,0.151515,114.479,0.7573
baseline,1,125,0.68072,0.1875,0.223881,115.281,0.8023
baseline,1,126,0.687274,0.21875,0.259259,116.036,0.7548
baseline,1,127,0.68276,0.15625,0.18797,116.838,0.8018
baseline,1,128,0.681697,0.21875,0.259259,117.764,0.9263
baseline,1,129,0.682449,0.21875,0.259259,118.618,0.8536
baseline,1,130,0.679186,0.125,0.151515,119.302,0.6843
baseline,1,131,0.676015,0.0625,0.076923,119.963,0.6607
baseline,1,132,0.682155,0.15625,0.18797,120.729,0.7661
baseline,1,133,0.685471,0.28125,0.328467,121.444,0.7155
baseline,1,134,0.680214,0.1875,0.223881,122.178,0.7337
baseline,1,135,0.677768,0.125,0.151515,122.844,0.6665
baseline,1,136,0.675384,0.0625,0.076923,123.577,0.7327
baseline,1,137,0.688856,0.34375,0.395683,124.337,0.76
baseline,1,138,0.682564,0.15625,0.18797,125.089,0.7518
baseline,1,139,0.680097,0.15625,0.18797,125.788,0.6994
baseline,1,140,0.682637,0.25,0.294118,126.514,0.7257
baseline,1,141,0.676385,0.15625,0.18797,127.223,0.7087
baseline,1,142,0.681306,0.1875,0.223881,127.97,0.7473
baseline,1,143,0.684309,0.3125,0.362319,128.652,0.6821
baseline,1,144,0.678726,0.09375,0.114504,129.375,0.7227
baseline,1,145,0.677667,0.21875,0.259259,130.023,0.6476
baseline,1,146,0.676703,0.0625,0.076923,130.731,0.7088
baseline,1,147,0.683276,0.21875,0.259259,131.452,0.7209
baseline,1,148,0.675837,0.125,0.151515,132.178,0.726
baseline,1,149,0.679017,0.21875,0.259259,132.863,0.6843
baseline,1,150,0.677686,0.125,0.151515,133.589,0.7264
baseline,1,151,0.681208,0.28125,0.328467,134.363,0.7739
baseline,1,152,0.677219,0.125,0.151515,135.038,0.675
baseline,1,153,0.681954,0.1875,0.223881,135.784,0.7463
baseline,1,154,0.676828,0.125,0.151515,136.494,0.7102
baseline,1,155,0.684477,0.28125,0.328467,137.202,0.7077
baseline,1,156,0.67382,0.1875,0.193798,137.955,0.7525
baseline,1,157,0.672007,0.09375,0.114504,138.668,0.7133
baseline,1,158,0.679722,0.21875,0.259259,139.388,0.7204
baseline,1,159,0.674604,0.09375,0.114504,140.064,0.6753
baseline,1,160,0.677409,0.125,0.151515,140.763,0.6993
baseline,1,161,0.678789,0.125,0.151515,141.442,0.6796
baseline,1,162,0.679548,0.25,0.294118,142.188,0.7452
baseline,1,163,0.677428,0.1875,0.223881,142.9,0.7121
baseline,1,164,0.68535,0.3125,0.362319,143.699,0.7991
baseline,1,165,0.678237,0.21875,0.259259,144.438,0.7389
baseline,1,166,0.676634,0.21875,0.259259,145.23,0.7925
baseline,1,167,0.676078,0.25,0.267176,145.984,0.7532
baseline,1,168,0.679621,0.21875,0.259259,146.669,0.6854
baseline,1,169,0.67662,0.1875,0.223881,147.364,0.6956
baseline,1,170,0.680576,0.25,0.294118,148.095,0.7309
baseline,1,171,0.674971,0.125,0.151515,148.833,0.7374
baseline,1,172,0.672368,0.09375,0.114504,149.478,0.6457
baseline,1,173,0.673593,0.15625,0.18797,150.158,0.6799
baseline,1,174,0.673516,0.09375,0.114504,150.876,0.7174
baseline,1,175,0.667985,0.09375,0.114504,151.638,0.762
baseline,1,176,0.681578,0.28125,0.328467,152.385,0.7474
baseline,1,177,0.677711,0.25,0.294118,153.117,0.7318
baseline,1,178,0.678452,0.1875,0.223881,153.802,0.6851
baseline,1,179,0.679989,0.21875,0.259259,154.513,0.7114
baseline,1,180,0.67427,0.1875,0.223881,155.288,0.7749
baseline,1,181,0.667363,0.125,0.11811,156.028,0.7395
baseline,1,182,0.672898,0.1875,0.223881,156.761,0.7336
baseline,1,183,0.679803,0.25,0.294118,157.483,0.7218
baseline,1,184,0.681111,0.21875,0.259259,158.184,0.7011
baseline,1,185,0.670622,0.09375,0.114504,158.881,0.6967
baseline,1,186,0.671713,0.09375,0.114504,159.562,0.6812
baseline,1,187,0.674072,0.15625,0.18797,160.238,0.6761
baseline,1,188,0.675434,0.15625,0.18797,160.995,0.7565
baseline,1,189,0.677435,0.1875,0.223881,161.649,0.654
baseline,1,190,0.669129,0.09375,0.114504,162.419,0.7699
baseline,1,191,0.679495,0.25,0.294118,163.043,0.6248
baseline,1,192,0.677128,0.21875,0.259259,163.751,0.7073
baseline,1,193,0.671008,0.09375,0.114504,164.464,0.7139
baseline,1,194,0.675398,0.21875,0.259259,165.149,0.6844
baseline,1,195,0.672823,0.1875,0.223881,165.805,0.6559
baseline,1,196,0.664656,0.125,0.11811,166.632,0.827
baseline,1,197,0.677847,0.21875,0.259259,167.342,0.7101
baseline,1,198,0.679556,0.25,0.294118,168.086,0.7444
baseline,1,199,0.673893,0.1875,0.223881,168.83,0.7437
baseline,1,200,0.671582,0.1875,0.223881,169.486,0.6557
baseline,1,201,0.672785,0.15625,0.18797,170.181,0.6948
baseline,1,202,0.675224,0.1875,0.223881,170.921,0.7409
baseline,1,203,0.673106,0.15625,0.18797,171.601,0.68
baseline,1,204,0.677102,0.21875,0.259259,172.304,0.7027
baseline,1,205,0.675011,0.28125,0.30303,173.059,0.755
baseline,1,206,0.664392,0.125,0.151515,173.764,0.7048
baseline,1,207,0.677799,0.28125,0.328467,174.467,0.7032
baseline,1,208,0.66892,0.09375,0.114504,175.194,0.7274
baseline,1,209,0.678782,0.28125,0.328467,175.839,0.645
baseline,1,210,0.66701,0.125,0.151515,176.519,0.6793
baseline,1,211,0.669678,0.15625,0.18797,177.249,0.7302
baseline,1,212,0.668862,0.125,0.151515,177.987,0.7385
baseline,1,213,0.672672,0.15625,0.18797,178.655,0.6679
baseline,1,214,0.677472,0.25,0.294118,179.351,0.696
baseline,1,215,0.674237,0.28125,0.328467,180.062,0.7105
baseline,1,216,0.6687,0.15625,0.18797,180.735,0.6735
baseline,1,217,0.672908,0.28125,0.328467,181.472,0.7371
baseline,1,218,0.671009,0.15625,0.18797,182.241,0.769
baseline,1,219,0.664905,0.15625,0.15625,182.946,0.705
baseline,1,220,0.666368,0.15625,0.18797,183.632,0.6856
baseline,1,221,0.668196,0.125,0.151515,184.307,0.675
baseline,1,222,0.67321,0.1875,0.223881,184.97,0.663
baseline,1,223,0.672243,0.21875,0.259259,185.742,0.7723
baseline,1,224,0.677826,0.28125,0.328467,186.448,0.706
baseline,1,225,0.670908,0.21875,0.259259,187.223,0.7747
baseline,1,226,0.672746,0.1875,0.223881,187.94,0.7175
baseline,1,227,0.669551,0.15625,0.18797,188.603,0.663
baseline,1,228,0.681075,0.3125,0.362319,189.346,0.7429
baseline,1,229,0.66008,0.03125,0.03876,190.063,0.7167
baseline,1,230,0.671008,0.21875,0.259259,190.751,0.688
baseline,1,231,0.658248,0.09375,0.079365,191.449,0.6982
baseline,1,232,0.666058,0.125,0.151515,192.229,0.7793
baseline,1,233,0.675081,0.25,0.294118,192.934,0.7053
baseline,1,234,0.67493,0.21875,0.259259,193.639,0.7046
baseline,1,235,0.67287,0.21875,0.259259,194.285,0.6469
baseline,1,236,0.680658,0.28125,0.328467,195.022,0.7361
baseline,1,237,0.666731,0.15625,0.18797,195.769,0.7474
baseline,1,238,0.659491,0.125,0.11811,196.497,0.7279
baseline,1,239,0.678386,0.3125,0.362319,197.229,0.7319
baseline,1,240,0.667448,0.1875,0.223881,197.991,0.7625
baseline,1,241,0.672423,0.21875,0.259259,198.67,0.6792
baseline,1,242,0.67507,0.28125,0.328467,199.434,0.7636
baseline,1,243,0.665982,0.125,0.151515,200.125,0.6915
baseline,1,244,0.658677,0.15625,0.15625,200.915,0.7891
baseline,1,245,0.677288,0.28125,0.328467,201.606,0.6914
baseline,1,246,0.676383,0.3125,0.362319,202.332,0.7265
baseline,1,247,0.668113,0.15625,0.18797,203.025,0.6928
baseline,1,248,0.666381,0.15625,0.18797,203.727,0.7014
baseline,1,249,0.65588,0.0625,0.076923,204.464,0.7378
baseline,1,250,0.67016,0.21875,0.259259,205.194,0.7297
baseline,1,251,0.66955,0.1875,0.223881,205.89,0.696
baseline,1,252,0.669661,0.1875,0.223881,206.56,0.6701
baseline,1,253,0.665105,0.15625,0.18797,207.297,0.7365
baseline,1,254,0.667809,0.21875,0.259259,208.029,0.7319
baseline,1,255,0.660554,0.09375,0.114504,208.747,0.7183
baseline,1,256,0.666742,0.1875,0.223881,209.459,0.7125
baseline,1,257,0.666406,0.1875,0.223881,210.176,0.7165
baseline,1,258,0.667301,0.21875,0.259259,210.871,0.695
baseline,1,259,0.670379,0.21875,0.259259,211.55,0.6788
baseline,1,260,0.664821,0.15625,0.18797,212.288,0.7383
baseline,1,261,0.672343,0.25,0.294118,212.974,0.6861
baseline,1,262,0.66156,0.125,0.151515,213.695,0.7206
baseline,1,263,0.683478,0.375,0.428571,214.366,0.6715
baseline,1,264,0.668347,0.21875,0.259259,215.13,0.7639
baseline,1,265,0.66634,0.1875,0.223881,215.808,0.6775
baseline,1,266,0.657128,0.15625,0.15625,216.523,0.715
baseline,1,267,0.667412,0.1875,0.223881,217.178,0.6557
baseline,1,268,0.662219,0.15625,0.18797,217.91,0.7313
baseline,1,269,0.668139,0.1875,0.223881,218.532,0.6219
baseline,1,270,0.659217,0.125,0.151515,219.243,0.7111
baseline,1,271,0.681549,0.34375,0.395683,219.954,0.7115
baseline,1,272,0.665228,0.1875,0.223881,220.635,0.6812
baseline,1,273,0.661404,0.1875,0.223881,221.358,0.7226
baseline,1,274,0.660316,0.1875,0.193798,222.055,0.6971
baseline,1,275,0.674557,0.3125,0.362319,222.758,0.7029
baseline,1,276,0.662081,0.15625,0.18797,223.485,0.7269
baseline,1,277,0.659992,0.125,0.151515,224.149,0.6646
baseline,1,278,0.667604,0.21875,0.259259,224.885,0.7356
baseline,1,279,0.661727,0.125,0.151515,225.631,0.746
baseline,1,280,0.6688,0.21875,0.259259,226.35,0.719
baseline,1,281,0.684212,0.375,0.428571,227.003,0.6529
baseline,1,282,0.661721,0.15625,0.18797,227.689,0.6866
baseline,1,283,0.651688,0.0625,0.076923,228.383,0.6937
baseline,1,284,0.666783,0.25,0.294118,229.144,0.7612
baseline,1,285,0.654294,0.0625,0.076923,229.835,0.6908
baseline,1,286,0.664467,0.21875,0.259259,230.533,0.6978
baseline,1,287,0.667575,0.21875,0.259259,231.286,0.7528
baseline,1,288,0.656722,0.1875,0.193798,231.996,0.7105
baseline,1,289,0.665464,0.21875,0.259259,232.717,0.721
baseline,1,290,0.653423,0.0625,0.076923,233.452,0.735
baseline,1,291,0.651178,0.125,0.11811,234.151,0.6986
baseline,1,292,0.662666,0.15625,0.18797,234.854,0.7027
baseline,1,293,0.669995,0.25,0.294118,235.529,0.6752
baseline,1,294,0.668642,0.21875,0.259259,236.217,0.6887
baseline,1,295,0.669497,0.25,0.294118,236.914,0.6966
baseline,1,296,0.656966,0.1875,0.193798,237.691,0.7767
baseline,1,297,0.671205,0.25,0.294118,238.411,0.7203
baseline,1,298,0.660574,0.15625,0.18797,239.127,0.7154
baseline,1,299,0.65313,0.09375,0.114504,239.906,0.7799
baseline,1,300,0.666729,0.28125,0.30303,240.63,0.7235
baseline,1,301,0.659665,0.15625,0.18797,241.317,0.6876
baseline,1,302,0.663447,0.25,0.267176,242.022,0.7041
baseline,1,303,0.664169,0.1875,0.223881,242.697,0.6752
baseline,1,304,0.650445,0.125,0.11811,243.429,0.7326
baseline,1,305,0.650175,0.125,0.11811,244.115,0.6855
baseline,1,306,0.666828,0.25,0.294118,244.794,0.6795
baseline,1,307,0.659262,0.15625,0.18797,245.506,0.7115
baseline,1,308,0.673725,0.3125,0.362319,246.327,0.8211
baseline,1,309,0.665997,0.21875,0.259259,247.002,0.6747
baseline,1,310,0.654398,0.125,0.151515,247.671,0.669
baseline,1,311,0.647094,0.0625,0.076923,248.334,0.6632
baseline,1,312,0.648632,0.09375,0.114504,249.093,0.7593
baseline,1,313,0.658919,0.21875,0.230769,249.792,0.6986
baseline,1,314,0.661672,0.21875,0.259259,250.497,0.7057
baseline,1,315,0.657366,0.125,0.151515,251.251,0.7535
baseline,1,316,0.659411,0.1875,0.223881,251.969,0.7182
baseline,1,317,0.65126,0.125,0.151515,252.662,0.6932
baseline,1,318,0.671377,0.28125,0.328467,253.396,0.7333
baseline,1,319,0.653815,0.125,0.151515,254.104,0.7081
baseline,1,320,0.662065,0.21875,0.259259,254.823,0.7189
baseline,1,321,0.65336,0.125,0.151515,255.549,0.7265
baseline,1,322,0.671442,0.34375,0.373134,256.267,0.7176
baseline,1,323,0.659563,0.15625,0.18797,256.935,0.6682
baseline,1,324,0.656902,0.21875,0.230769,257.734,0.799
baseline,1,325,0.66894,0.25,0.294118,258.431,0.6969
baseline,1,326,0.674493,0.3125,0.362319,259.1,0.6696
baseline,1,327,0.646908,0.0625,0.076923,259.907,0.8068
baseline,1,328,0.661794,0.21875,0.259259,260.632,0.7251
baseline,1,329,0.644035,0.125,0.11811,261.364,0.7319
baseline,1,330,0.655154,0.125,0.151515,262.113,0.7483
baseline,1,331,0.646872,0.125,0.11811,262.803,0.6907
baseline,1,332,0.656043,0.21875,0.230769,263.545,0.7418
baseline,1,333,0.656884,0.15625,0.18797,264.253,0.708
baseline,1,334,0.66118,0.1875,0.223881,264.982,0.7292
baseline,1,335,0.650593,0.15625,0.18797,265.741,0.759
baseline,1,336,0.658208,0.1875,0.223881,266.461,0.7193
baseline,1,337,0.673617,0.3125,0.362319,267.193,0.7326
baseline,1,338,0.653489,0.21875,0.230769,267.924,0.7313
baseline,1,339,0.66495,0.3125,0.338346,268.631,0.7069
baseline,1,340,0.647459,0.09375,0.114504,269.419,0.7874
baseline,1,341,0.646146,0.09375,0.114504,270.092,0.6733
baseline,1,342,0.66682,0.25,0.294118,270.805,0.713
baseline,1,343,0.66115,0.21875,0.259259,271.539,0.7336
baseline,1,344,0.659112,0.1875,0.223881,272.256,0.7172
baseline,1,345,0.655673,0.15625,0.18797,272.966,0.7102
baseline,1,346,0.653445,0.15625,0.18797,273.696,0.7295
baseline,1,347,0.653182,0.1875,0.223881,274.412,0.7168
baseline,1,348,0.669762,0.3125,0.362319,275.121,0.7089
baseline,1,349,0.638142,0.03125,0.03876,275.879,0.7579
baseline,1,350,0.64891,0.15625,0.15625,276.586,0.7066
baseline,1,351,0.646006,0.15625,0.15625,277.34,0.7539
baseline,1,352,0.669281,0.28125,0.328467,278.037,0.6968
baseline,1,353,0.65099,0.1875,0.193798,278.718,0.6812
baseline,1,354,0.669736,0.28125,0.328467,279.434,0.7162
baseline,1,355,0.647673,0.15625,0.15625,280.162,0.7276
baseline,1,356,0.661054,0.28125,0.30303,280.884,0.7219
baseline,1,357,0.660738,0.21875,0.259259,281.617,0.7331
baseline,1,358,0.65771,0.1875,0.223881,282.341,0.724
baseline,1,359,0.664184,0.3125,0.338346,283.044,0.7031
baseline,1,360,0.649739,0.125,0.151515,283.791,0.7472
baseline,1,361,0.669626,0.28125,0.328467,284.486,0.6947
baseline,1,362,0.656796,0.25,0.267176,285.232,0.7468
baseline,1,363,0.653824,0.21875,0.230769,285.919,0.6868
baseline,1,364,0.661166,0.21875,0.259259,286.608,0.6889
baseline,1,365,0.649545,0.125,0.151515,287.351,0.7431
baseline,1,366,0.631376,0.0625,0.04,288.039,0.6873
baseline,1,367,0.656731,0.1875,0.223881,288.714,0.6754
baseline,1,368,0.649013,0.125,0.151515,289.427,0.7129
baseline,1,369,0.661063,0.25,0.294118,290.156,0.7289
baseline,1,370,0.64488,0.09375,0.114504,290.866,0.7107
baseline,1,371,0.645676,0.15625,0.15625,291.553,0.6868
baseline,1,372,0.661145,0.28125,0.328467,292.292,0.7384
baseline,1,373,0.652705,0.25,0.267176,293.052,0.7601
baseline,1,374,0.629146,0.03125,0.0,293.735,0.6836
baseline,1,375,0.642295,0.15625,0.15625,294.395,0.6595
baseline,1,376,0.653053,0.25,0.267176,295.107,0.7122
baseline,1,377,0.648011,0.125,0.151515,295.781,0.6735
baseline,1,378,0.64756,0.1875,0.193798,296.439,0.6583
baseline,1,379,0.643115,0.125,0.151515,297.156,0.717
baseline,1,380,0.644931,0.1875,0.193798,297.81,0.6538
baseline,1,381,0.63897,0.0625,0.076923,298.552,0.7424
baseline,1,382,0.652005,0.15625,0.18797,299.339,0.7864
baseline,1,383,0.68328,0.40625,0.460993,300.018,0.6798
baseline,1,384,0.654776,0.1875,0.223881,300.701,0.6826
baseline,1,385,0.663202,0.25,0.294118,301.358,0.6574
baseline,1,386,0.662733,0.25,0.294118,302.114,0.7559
baseline,1,387,0.666745,0.28125,0.328467,302.823,0.7089
baseline,1,388,0.656864,0.28125,0.30303,303.53,0.707
